,ENT_LOC,ENT_LOC_U,ENT_MISC,ENT_MISC_U,ENT_ORG,ENT_ORG_U,ENT_PER,ENT_PER_U,POS_ADJ,POS_ADP,POS_ADV,POS_AUX,POS_CCONJ,POS_DET,POS_INTJ,POS_NOUN,POS_NUM,POS_PART,POS_PRON,POS_PROPN,POS_SCONJ,POS_SYM,POS_VERB,POS_X,adj_mod_nounc,nphrases,nphrases_length,objects_exc,objects_exc_u,objects_inc,objects_inc_u,stopwords,wordcount
1898_Levy_BreveFraEnsomheden.0,34.0,24.0,12,10,6.0,6.0,112,27,1274,1804,2139,944,738,1499,86,3149,68,249,2704,167,315,562,2781,114,711,1460,3486,426,347,173,115,9282,18593
1898_Lunde_Midsommerbarnet.0,77.0,44.0,23,22,5.0,5.0,837,80,1935,3320,3693,1424,1184,1938,214,4814,99,345,3705,944,611,1184,4246,260,1061,2135,5258,580,438,266,149,14120,29916
1898_Lundgaard_FroekenToes.0,46.0,25.0,26,25,7.0,7.0,371,88,1343,2192,1878,818,763,1542,210,3627,121,198,2373,507,281,703,2941,384,895,1744,4368,458,347,234,133,9078,19881
1898_MadsenJ_GesandtensBoern.0,63.0,42.0,85,41,13.0,12.0,1220,186,1896,2554,2938,1312,1285,1495,154,3738,83,365,3134,1837,633,1431,4016,242,943,1705,4276,516,372,224,134,12447,27113
1898_MallingM_DonaYsabel.0,703.0,196.0,488,205,136.0,68.0,1549,339,5785,9472,9544,3268,3205,5524,196,12201,143,1162,9188,3684,1558,3114,10034,601,3656,6697,17446,1434,860,445,195,36854,78679
1898_MoellerO_MillionaerensPilegrimsfaerd.0,192.0,86.0,85,59,24.0,23.0,226,107,2127,3094,3639,1798,1167,1870,170,4607,106,441,3927,519,498,767,3871,237,985,1892,4580,657,514,253,172,14751,28838
1898_MothLund_ToraFangel.0,174.0,98.0,35,29,27.0,24.0,1556,136,3803,6766,10823,4791,3358,3817,801,8458,305,937,11722,1878,1493,4117,9859,305,1932,4055,9849,1088,667,533,204,38902,73233
1898_NielsenZ_DenStoreMagt.0,146.0,96.0,77,52,32.0,24.0,1233,167,5026,8266,8322,3633,3224,5223,747,12480,337,730,9608,1677,1081,5007,10394,498,3203,5959,14925,1646,961,610,257,36760,76253
1898_Pedersen_BlandtFremmede.0,44.0,26.0,10,7,14.0,12.0,758,92,2300,3133,5084,2307,1628,2118,323,4749,90,472,5302,857,723,1814,5233,299,1251,2356,5803,502,331,239,106,18108,36432
1898_Pontoppidan_LykkePerFinderSkatten.0,98.0,71.0,103,72,21.0,20.0,487,97,2523,4065,3819,1524,1210,2858,102,5722,79,525,3531,632,548,1091,3893,255,1480,2745,6780,798,640,220,137,15574,32377
1898_Pontoppidan_LykkePerHansUngdom.0,106.0,85.0,57,50,20.0,15.0,501,99,2882,4880,4793,1717,1552,3369,152,7166,84,585,4272,727,734,1517,4990,256,1667,3252,8013,1054,840,351,211,18686,39676
1898_Prydz_Sylvia.0,73.0,40.0,29,20,22.0,12.0,673,112,1493,2531,3815,1746,1276,1251,70,3203,34,252,4143,822,508,894,4086,358,582,1238,3046,458,352,150,97,13669,26482
1898_Raunkiaer_Memento.0,87.0,52.0,74,54,20.0,17.0,391,129,3195,4860,4987,2501,2886,2932,358,7568,113,665,6146,638,1093,2603,6264,535,1761,3227,8017,1276,827,350,180,23510,47344
1898_Roerdam_PaaHoejskole.0,88.0,70.0,69,57,16.0,16.0,403,99,2326,3035,3400,1090,1631,1795,112,4532,78,285,3248,593,348,770,3762,166,1314,1930,4968,648,515,275,182,13959,27171
1898_RygaardHo_Kongesvaerdet.0,371.0,171.0,271,123,137.0,67.0,1640,374,7592,12169,11107,6174,4576,9578,470,21837,320,1316,14916,2591,2511,6091,17713,2082,4771,10378,25365,3182,1686,1007,328,53979,121043
1898_RygaardHo_Kongesvaerdet.1,375.0,150.0,187,120,76.0,41.0,1857,353,7667,12152,11013,6327,4592,10192,417,21058,256,1450,15719,2661,2614,6626,18047,1702,4844,10876,26341,3223,1601,1117,320,56010,122493
1898_RygaardHo_Kongesvaerdet.2,349.0,136.0,112,75,73.0,40.0,1577,257,7249,12592,11430,6113,4896,9925,370,21255,192,1574,16460,2296,2733,6279,18031,1736,4604,10506,25223,3229,1507,1006,299,56843,123131
1898_Schjoerring_TilLykkensLand.0,234.0,89.0,79,54,19.0,18.0,842,114,4018,5824,8003,3623,2142,3788,319,7718,151,824,8592,1179,1370,923,8022,330,2303,4126,10488,869,566,355,176,30210,56826
1898_SkramA_Afkom.0,174.0,83.0,124,66,48.0,38.0,4615,355,5617,10437,14081,6116,5444,4926,1181,14939,341,861,14281,5705,2027,8026,16244,1898,2137,5387,12715,2639,1332,915,301,53752,112124
1898_SkramE_HellenVige.0,66.0,30.0,12,10,12.0,9.0,188,44,753,1417,1679,972,458,798,34,1637,62,187,2088,297,334,327,1674,82,310,794,1852,177,143,62,40,7215,12799
1898_Staehr_FritsOgMarie.0,31.0,26.0,24,23,53.0,37.0,1171,174,2204,3515,4600,2191,1633,2294,189,5996,88,296,4189,1315,714,680,5166,639,1273,2513,6151,840,533,297,145,16894,35709
1898_Stuckenberg_Hjemfalden.0,22.0,17.0,3,3,4.0,3.0,28,14,1272,2511,3376,1479,1386,1774,103,3186,54,250,5127,65,475,506,4241,51,522,1616,3674,474,284,200,123,14768,25856
1898_Thisted_EnSkaersild.0,114.0,48.0,61,37,39.0,30.0,1439,121,3925,6542,8405,4144,3237,3875,553,9017,174,793,8641,1640,1447,3292,8130,303,2094,4142,9995,1150,741,358,172,33376,64118
1898_Tuxen_BrudtOvermod.0,92.0,67.0,75,48,39.0,29.0,2185,154,5588,7248,9937,4487,3135,4994,311,11177,153,1091,9907,2483,1397,3265,11299,764,3378,5696,14498,1606,990,510,220,36400,77236
1898_Tuxen_PaaVildspor.0,189.0,87.0,85,48,25.0,25.0,2276,207,5387,8649,10566,4624,3370,5614,355,11610,195,1243,12502,2659,1994,4065,12434,750,3272,6177,15638,1567,858,488,181,41849,86017
1898_Wied_Slaegten.0,185.0,102.0,84,73,49.0,36.0,1327,239,4104,7403,8811,3537,4279,4300,575,12085,284,734,8127,1795,1158,2455,10243,611,1979,4278,10533,1962,1169,625,290,33294,70501
1899_Ahlberg_HvorforHunBlevNonne.0,124.0,51.0,127,73,38.0,26.0,1007,160,4078,3948,4838,1762,2121,2842,272,5938,138,505,4248,1511,602,2010,5012,356,2111,2906,7920,774,561,266,143,18344,40181
1899_Bang_LivOgDoed.0,50.0,37.0,69,58,31.0,22.0,751,124,1127,2040,2294,943,815,1313,160,3829,146,179,2326,1025,269,2150,3296,202,542,1390,3257,536,393,191,116,9163,22114
1899_BarnerAagaard_ErikRandborg.0,50.0,30.0,43,29,27.0,17.0,628,85,1597,1982,1869,983,817,1601,53,3724,61,309,2387,772,338,1437,2982,107,909,1678,4116,619,448,185,97,9201,21019
1899_BrandesE_DetUngeBlod.0,170.0,72.0,56,45,28.0,22.0,914,97,3501,4915,5967,2610,2513,3221,196,7031,187,513,6501,1173,1094,1776,6315,414,1672,3139,7658,974,670,305,147,23647,47927
1899_Brosboell_Fredsfyrsten.0,77.0,46.0,58,42,18.0,17.0,559,95,2034,2690,2523,726,894,1928,59,4739,80,244,2003,708,353,715,3474,139,1169,2057,5087,715,539,219,133,9944,23309
1899_ChristensenChr_KaerlighedensMysterier.0,188.0,59.0,143,64,19.0,19.0,1538,149,3143,5559,5349,3124,2309,3725,201,7519,197,1071,7019,1841,1541,3669,7854,414,1460,3523,8225,1151,730,401,176,26373,54535
1899_DrachmannE_GrevindeCoselogFrederikAugustdenstaerkeKurfyrsteafSachsenogKongeafPolen.0,663.0,185.0,363,166,70.0,55.0,2831,442,8256,13676,13250,5642,5145,9161,328,20802,358,2109,12203,4293,1975,5803,16579,688,5564,10419,27115,2418,1370,846,277,55107,120268
1899_Drachmann_DenHelligeIld.0,235.0,136.0,219,150,26.0,24.0,378,178,4041,4800,4425,1879,2575,3900,129,9044,126,407,5344,779,607,2846,6072,489,2161,3713,9476,1647,1156,466,238,21480,47463
1899_Egeberg_VedDoedensPort.0,42.0,34.0,26,22,7.0,7.0,196,70,2863,4304,4487,2019,1720,2847,112,6852,55,415,4426,228,651,1288,4752,185,1564,2628,6596,921,640,280,154,18627,37204
1899_EwaldC_MinLilleDreng.0,29.0,25.0,31,24,10.0,7.0,147,72,1671,2248,2611,1239,1353,1714,62,3756,89,171,3584,217,439,648,3177,112,857,1712,4045,617,439,259,142,12390,23091
1899_EwaldHF_DanielRantzow.0,993.0,340.0,612,125,133.0,76.0,3209,528,5874,10583,10945,5791,4845,6744,280,16545,350,1361,11133,5078,2593,3816,14259,786,3175,7319,17534,2369,1268,732,277,47602,100983
1899_EwaldT_MaendOgRaskeDrenge.0,36.0,28.0,58,37,17.0,13.0,563,94,1936,3182,3963,1928,1556,1912,148,4981,94,438,4609,711,644,772,5008,298,816,1945,4512,774,517,262,140,16317,32180
1899_FibigerM_AnninaHjelm.0,172.0,89.0,79,61,44.0,28.0,1508,216,4743,8918,9273,3731,3011,4931,280,11526,253,863,9629,1884,1595,3643,10015,439,2527,4906,12056,1394,887,489,251,37261,74734
1899_Gnudtzmann_RidderThorvald.0,80.0,52.0,57,48,38.0,30.0,661,94,2553,4337,4867,2118,1704,2738,278,6775,143,484,5091,907,547,2192,5725,465,1307,2737,6677,927,677,377,214,19498,40924
1899_Groenborg_Troels.0,60.0,29.0,14,14,10.0,10.0,557,69,2337,3278,4246,1947,2039,1815,294,4905,47,290,4137,709,538,1501,4087,185,1131,1906,4607,667,461,320,158,16547,32355
1899_Hagerup_DenGamleKaempehoej.0,418.0,151.0,98,57,77.0,36.0,1048,185,2537,4394,4616,2046,1953,2551,150,6040,164,650,4978,1738,1107,1253,5549,175,1563,3036,7664,786,485,334,150,20145,39901
