,ENT_LOC,ENT_LOC_U,ENT_MISC,ENT_MISC_U,ENT_ORG,ENT_ORG_U,ENT_PER,ENT_PER_U,POS_ADJ,POS_ADP,POS_ADV,POS_AUX,POS_CCONJ,POS_DET,POS_INTJ,POS_NOUN,POS_NUM,POS_PART,POS_PRON,POS_PROPN,POS_SCONJ,POS_SYM,POS_VERB,POS_X,adj_mod_nounc,nphrases,nphrases_length,objects_exc,objects_exc_u,objects_inc,objects_inc_u,stopwords,wordcount
1875_SoerensenC_SkjaebnensVeie.2,546.0,157.0,213,97,164.0,85.0,2456,301,6677,12159,10940,6691,4412,9504,261,18866,267,1991,12388,3817,2764,4259,14980,2052,3596,8991,21239,2969,1508,736,223,51793,112028
1875_Thorson_DeToVenner_2.0,391.0,99.0,115,75,223.0,91.0,2910,275,4901,10677,14362,8579,4275,5973,463,14480,564,1472,17442,4137,4356,4769,16835,1450,2174,6132,13974,2257,1052,873,263,59893,114735
1875_Thorson_DeToVenner_2.1,473.0,133.0,93,61,305.0,110.0,2799,313,4781,11049,13939,8595,4026,5439,433,15070,1213,1399,17123,4048,4146,5071,16542,1809,2083,6017,13738,2444,1093,885,243,59128,114683
1875_Tommesen_HerredfogdensDoettre.0,163.0,82.0,56,48,88.0,41.0,2476,249,6715,8841,9775,4762,3911,6626,403,13805,95,1116,10914,2920,2028,2876,13069,1783,3471,6288,15723,2211,1160,710,232,41521,89639
1875_Topsoee_JasonMedDetGyldneSkind.0,180.0,104.0,180,102,99.0,57.0,770,123,5254,7981,8601,4369,3078,5134,141,10580,155,881,9124,1224,1553,1353,9436,866,2727,4882,12010,1401,1006,448,215,35931,69730
1875_Vende_LeonieEllerEnNatIMinerne_2.0,151.0,71.0,197,67,62.0,38.0,2654,313,7044,10985,11647,6827,3737,8786,1062,17147,190,1723,17420,3349,2037,2941,18812,1453,3712,8704,20600,2525,1214,832,234,56254,115160
1875_Zahle_Erna.0,201.0,82.0,83,56,107.0,76.0,931,251,3491,5554,5300,3056,1723,3795,115,8897,71,704,6189,1392,1178,1585,6927,1253,1946,3915,9383,1412,902,445,180,24469,51230
1875_Zahle_FamilienPuttmann.0,161.0,76.0,80,49,44.0,31.0,758,136,2029,3435,3612,2134,1226,2556,118,5400,86,395,4273,1031,812,1101,4559,472,1072,2471,5888,778,520,236,110,16514,33239
1875_Zahle_GamleRasmus.0,115.0,84.0,75,56,87.0,72.0,642,175,2154,3656,3947,2054,1256,2408,153,6065,71,424,4462,966,735,1481,4834,915,1185,2548,6100,1012,687,332,161,16837,35581
1876_Albertius_KlokkenIRosendalen_1.0,240.0,92.0,180,86,135.0,89.0,1956,324,7871,10454,11759,6893,4883,9464,540,18248,345,1595,15732,2895,2427,4573,17814,2368,4278,9084,22161,2697,1354,1026,319,56584,117861
1876_Albertius_KlokkenIRosendalen_2.0,435.0,100.0,244,118,166.0,67.0,2241,311,8299,11735,13121,7500,5132,10635,546,19910,360,1706,16760,3094,2435,3200,19473,1613,4370,9798,23678,2781,1349,1109,326,61826,125519
1876_Barner_TanteUlrike.0,167.0,78.0,92,60,69.0,45.0,1470,223,3135,4650,4018,2358,1618,3795,113,7706,137,837,5484,1971,976,1755,6618,626,1691,3745,8930,1117,755,363,166,21289,45797
1876_Bauditz_Himmelbjerget.0,188.0,108.0,68,58,46.0,31.0,743,132,2966,5185,6690,2625,2340,2992,285,6824,96,656,6985,1051,1013,1901,7443,325,1415,2922,7034,907,704,401,202,25418,49377
1876_BetzonichG_IndenforVoldene.0,127.0,67.0,70,42,51.0,30.0,1333,154,3606,6602,7694,3471,2387,4125,374,9482,154,840,9171,1648,1284,3990,9736,759,1888,4096,9831,1430,844,500,225,31148,65323
1876_Borring_FaergemandensDatter_1.0,91.0,65.0,118,75,111.0,67.0,2445,286,6766,10824,12786,6626,4384,8051,992,16746,333,1638,17114,3335,2057,2831,17973,1819,3392,8006,18996,2500,1237,841,254,56473,114275
1876_Drachmann_EnOverkomplet.0,354.0,214.0,222,144,75.0,58.0,885,253,5636,9269,10484,4180,3894,6670,606,13974,190,880,11303,1510,1382,838,11863,1201,3083,6357,15590,2224,1495,763,348,41980,83880
1876_Friis_Laerepenge.0,83.0,40.0,44,32,21.0,16.0,304,96,1811,3292,3890,1881,1273,2254,166,4618,93,472,4800,490,940,1401,4593,433,923,2116,5029,624,437,214,113,16293,32407
1876_Hjelm_KoebenhavnskZigeunerliv_2.0,145.0,73.0,114,64,85.0,61.0,1229,198,4025,7395,7859,3418,2984,5389,239,11311,190,857,9683,1902,1095,1346,9752,755,2115,5646,13560,1678,862,512,198,34342,68200
1876_Hjelm_OerkenensSlange_1.0,277.0,137.0,410,95,140.0,67.0,3024,319,9740,15841,17100,7402,6423,11721,596,23744,483,1903,20351,4393,2310,3155,20883,1928,5030,11663,28777,3308,1462,1235,311,74066,147973
1876_Hjelm_OerkenensSlange_2.0,393.0,155.0,591,183,163.0,103.0,3216,451,8481,14801,13928,6588,5194,11048,484,22316,540,1676,17878,5120,1958,3548,18504,1551,4578,11554,28207,2941,1367,989,288,65496,133615
1876_JacobsenJP_FruMarieGrubbe.0,337.0,218.0,163,128,50.0,37.0,1608,427,5688,8240,8370,3713,4866,5078,442,12319,265,848,8852,2894,1346,2010,10201,1183,2868,5543,13601,2066,1429,660,334,36143,76315
1876_Karstens_FrederikDenSyvendesUngdom_2.0,230.0,76.0,148,69,92.0,59.0,2121,237,5278,8701,9927,5782,3649,7160,604,14889,326,1586,11800,2859,1965,5634,14011,1230,3067,7688,18534,1944,1030,817,231,44410,95401
1876_Karstens_FrederikFolkekjaer.0,293.0,80.0,203,127,128.0,91.0,3988,314,6883,11692,13384,7636,4632,9275,822,18599,414,2197,15579,6459,2725,7854,18604,1439,3458,9857,23350,2864,1378,1192,321,59109,128194
1876_Karstens_FrederikFolkekjaer.1,384.0,124.0,346,115,185.0,95.0,2806,352,6544,11510,12933,7777,4270,9403,820,18622,303,2190,16813,4241,2949,8311,18384,1754,3211,9362,21893,2549,1250,1101,289,60146,126824
1876_Kieler_Everil.0,209.0,102.0,158,85,137.0,31.0,2232,205,5049,7072,9417,4875,3197,5011,298,10842,189,827,11182,3021,1180,3438,11333,830,2133,4642,11189,1420,902,548,222,38175,77761
1876_Krebs_AdEnOmvei.0,227.0,73.0,152,85,77.0,44.0,2368,308,5144,7945,9077,5067,3017,5944,219,10839,123,1020,10844,3117,1930,3677,10702,1634,2588,5746,13837,1425,805,502,173,39718,80299
1876_LB_Taterkongen.0,1520.0,836.0,315,152,291.0,179.0,2024,536,9308,17685,15999,6559,6227,10538,157,25174,380,1905,15053,4593,3242,1165,19441,2348,5581,11311,27804,4078,2374,1294,464,66028,139774
1876_LB_Taterkongen.1,1166.0,603.0,374,191,263.0,132.0,2469,548,9360,16863,16669,6650,6769,10282,294,23647,460,2059,16548,4494,3158,1282,20356,2286,5393,10839,26608,3832,2218,1210,443,67994,141177
1876_LM_IndianerpigenFraKapBreton.0,229.0,132.0,273,119,73.0,42.0,808,208,4576,6347,7305,3240,2946,5048,234,11698,307,725,7759,1545,960,3624,10942,1114,2462,5014,12274,2093,1172,687,257,30158,68370
1876_Paulsen_Sjoedronningen.0,79.0,48.0,88,76,30.0,23.0,766,163,3616,4608,5415,2270,1941,3414,315,7513,67,409,6346,1033,747,2060,6703,593,1931,3347,8437,1117,766,416,186,21634,47050
1876_Schjoerring_FraVaarTilHoest.0,56.0,36.0,31,24,54.0,26.0,1268,99,3460,4956,6247,3059,1783,3388,225,6808,110,645,6783,1510,1205,2991,6992,840,1872,3537,8890,805,553,351,153,24933,51002
1876_Zahle_Alfred.0,122.0,72.0,112,80,68.0,51.0,686,179,3301,5529,5571,3368,2046,3617,122,8638,91,625,6681,984,1206,1234,7231,1327,1717,3604,8541,1416,918,342,156,25679,51571
1876_Zahle_StreifBlikPaaVorTid.0,103.0,85.0,483,79,88.0,62.0,379,153,3781,5925,6043,3428,2075,4268,117,9613,79,686,7474,699,1315,1344,7345,1103,2046,4191,9985,1570,993,402,183,28114,55295
1877_Barner_DetForsvundneManuskript.0,348.0,95.0,105,69,109.0,27.0,1149,141,4174,5873,4772,3018,1898,4842,70,9923,137,1091,6249,1704,1136,1989,7980,669,2307,4653,11266,1586,965,410,181,25747,55525
1877_Bjoernson_Magnhild.0,76.0,43.0,63,39,27.0,18.0,842,89,2128,3772,4630,1860,1616,2122,134,5287,129,344,5104,1036,661,1295,5521,396,1019,2063,4930,755,542,279,145,17664,36035
1877_Bondesen_StyrismandenOgHansBrud.0,510.0,248.0,137,103,261.0,81.0,2599,416,6685,10306,10895,4896,4420,6539,469,15892,203,1132,11432,3755,1914,3869,14160,2446,3649,6861,16936,2588,1538,885,301,44643,99013
1877_Borring_FaergemandensDatter_2.0,133.0,72.0,118,76,131.0,68.0,2164,287,7047,11577,12673,6607,4434,8404,873,17109,215,1877,16702,2980,2265,2767,18064,1717,3769,8309,19907,2518,1258,811,247,57375,115311
1877_Brosboell_FangenPaaKalloe.0,334.0,174.0,81,52,39.0,29.0,1392,278,3660,7323,7899,3211,3261,4498,224,10761,208,976,10215,2069,1088,2711,11588,901,1841,4494,10815,1852,1089,659,275,34386,70593
1877_Budde_FraLoemmelalderen.0,55.0,36.0,25,22,55.0,42.0,809,101,4357,6301,7229,2773,3512,4356,100,9261,104,941,6481,1044,1099,1329,8054,969,2352,4257,10583,1155,732,493,196,28258,57910
1877_Colban_JegLever.0,339.0,100.0,235,156,36.0,32.0,1221,270,5019,6105,7197,4134,2402,5408,135,10622,241,933,8740,1873,1156,1172,9400,488,2611,5153,12492,1477,971,467,221,32295,65025
1877_Degenkolv_VenskabOgSlaegtskab.0,58.0,42.0,36,25,25.0,21.0,427,58,1633,2539,2728,1377,997,1745,69,3894,54,416,2589,548,507,503,3203,344,880,1671,4057,558,435,166,101,11307,23146
1877_Drachmann_Tannhauser.0,94.0,61.0,74,66,59.0,43.0,903,175,3026,5112,6053,2522,2007,3558,250,8447,90,474,6687,1157,810,254,7702,747,1558,3462,8363,1338,938,476,234,23807,48896
1877_EwaldHF_NielsBrahe_1.0,554.0,244.0,112,85,64.0,55.0,3068,510,4724,8852,8190,3570,4671,6035,165,13705,251,831,9532,4786,1841,3363,12086,1708,2580,6747,15819,2171,1295,645,247,37943,84310
1877_EwaldHF_NielsBrahe_2.0,624.0,233.0,113,90,90.0,75.0,4313,582,6257,12405,11811,5804,6643,8490,144,19043,416,1364,14992,6508,3019,4957,18490,2397,3508,9525,22127,3019,1552,894,278,56536,122740
1877_Gioerup_VildeSkud.0,267.0,118.0,217,98,71.0,63.0,2226,261,4320,7082,7562,4993,2955,5147,452,11949,137,1181,9640,2862,1765,4659,11099,1013,2252,5199,12188,1676,1067,501,201,35901,76816
1877_Gloeersen_Sigurd.0,206.0,116.0,171,121,58.0,52.0,1901,386,5931,9323,12935,5908,4228,6109,604,13764,178,1216,14453,2608,2273,4551,14336,1368,2746,6036,14429,1898,1189,674,268,52079,99785
1877_HansenJH_EnFriMand.0,442.0,233.0,247,163,127.0,76.0,2623,372,7783,16275,15865,7275,6662,9625,417,23316,340,1899,17490,3779,3388,6668,20025,1475,4037,9044,22003,3623,1989,1004,335,69786,142282
1877_Hjelm_DoedensHemmeligheder_1.0,478.0,160.0,267,132,80.0,64.0,3289,346,8340,12674,13949,7022,5311,9932,585,20623,559,1641,18440,5211,2377,3572,20533,1137,4363,10315,25182,3121,1583,1098,363,64176,131906
1877_Hjelm_DoedensHemmeligheder_2.0,449.0,161.0,804,222,145.0,75.0,3425,363,8140,12052,13703,6362,5078,8829,635,20223,703,1473,16784,5217,2100,3606,20943,1003,4218,9269,22688,2978,1538,1048,339,59351,126851
1877_Hjelm_KoebenhavnskDemimondeLiv.0,207.0,106.0,165,108,128.0,56.0,1224,272,4276,6342,6571,3048,2320,5098,247,10065,341,624,7779,2259,904,1801,7950,932,2206,5271,12969,1381,842,494,199,28959,60557
1877_JPO_StridOgFred.0,378.0,150.0,110,79,63.0,37.0,3039,295,7952,12222,17050,6887,7277,7886,631,15700,113,2149,17971,3715,3386,5145,18329,1252,3987,7664,18843,2250,1159,785,238,65405,127665
1877_Lange_EtSymposion.0,119.0,79.0,47,39,20.0,17.0,96,66,1843,2946,3482,1156,1074,1998,174,4030,79,341,3086,275,593,1051,3048,345,979,1915,4700,517,411,151,94,12759,25521
1877_Lolle_FraVejkanten.0,423.0,251.0,122,87,84.0,63.0,498,199,2850,4233,4549,1726,1502,2664,230,6051,216,514,4051,1141,745,1173,4679,497,1532,2708,6892,943,734,315,185,17369,36821
1877_LundE_BjoernkjaerOgHoejbyEllerMarskStigsSlaegt.0,338.0,170.0,94,68,89.0,72.0,1066,343,2801,4629,3532,1567,1891,3109,170,7508,98,437,3841,1977,711,1610,5458,871,1845,3667,9174,1059,694,354,186,16797,40210
1877_MoellerL_JeanetteMironEllerFjortenMillioner.0,309.0,141.0,216,129,116.0,75.0,2640,337,8100,11192,13049,6411,5246,8666,706,19192,537,1292,16642,3567,1967,9315,20039,1641,4254,8520,21127,3007,1419,1092,334,57495,127562
1877_NielsenA_BrydningerIFolkelivet.0,184.0,68.0,104,58,14.0,12.0,774,131,2733,3841,5171,2668,1952,2800,384,5783,102,582,6229,1071,932,1749,5990,355,1411,2825,6731,927,574,354,171,21979,42342
1877_Paulsen_Dorothea.0,68.0,41.0,70,51,25.0,20.0,714,116,2968,3589,4670,1926,1501,2828,262,6041,60,383,5031,905,609,2595,5379,443,1530,2667,6695,893,656,294,146,17632,39190
1877_Rosing_LoevfaldOgLoevspring.0,87.0,51.0,61,49,16.0,15.0,983,140,2485,4353,5517,2335,2053,2732,386,6113,76,538,6864,1225,953,2255,6701,561,1194,2636,6308,863,559,383,142,22702,45147
1877_RygaardHa_PerlefiskerensSoen_1.0,181.0,83.0,441,142,89.0,46.0,2496,246,8571,10556,12623,7087,5310,10391,486,18653,305,1697,16807,3005,2378,3017,19108,1089,4449,9571,23073,2493,1216,977,291,59622,121083
1877_SkramE_Herregaardsbilleder.0,115.0,43.0,49,31,30.0,19.0,715,90,1742,2840,3272,1593,1061,1876,94,3606,64,277,3663,952,489,1402,3656,221,848,1827,4507,429,303,194,113,13480,26808
1877_SoerensenC_FolketsSoen.0,691.0,288.0,356,204,269.0,157.0,2611,676,8108,13413,14219,7258,5098,9769,597,20639,345,1710,14825,4553,2802,5893,17254,2682,4227,9379,22725,3164,1835,941,323,60315,129165
1877_SoerensenC_FolketsSoen.1,908.0,355.0,412,224,296.0,219.0,2288,657,8414,13255,14420,7085,4852,9840,530,20966,446,1688,14689,4240,2781,5646,16954,2369,4410,9460,22983,3043,1823,968,334,59549,128175
1877_Vinter_EbbaBraheEllerKongensBrud.0,748.0,262.0,410,150,162.0,95.0,1872,519,8166,11820,11282,5658,4826,9571,366,20840,216,1111,13803,3319,2172,1868,16107,1791,4821,9410,23288,3079,1649,950,283,51455,112916
1877_Vinter_EbbaBraheEllerKongensBrud.1,471.0,154.0,274,122,146.0,83.0,2065,403,7954,11737,11636,5994,4343,9515,298,18804,205,1481,15033,3304,2484,1959,16581,1858,4401,9113,22356,2794,1428,834,259,53448,113186
1878_Anonym_CarolineBoehmensFrygteligeSvoebeEllerEtGammeltBjergslotsHemmelighed.0,129.0,63.0,62,44,109.0,33.0,1866,275,2872,5280,5484,2731,2512,3991,162,8755,122,489,6075,2306,1219,3462,8497,809,1512,3799,8969,1439,791,490,203,24331,54766
1878_Barner_CharlotteAmalie.0,447.0,158.0,163,66,97.0,55.0,1625,334,3345,4795,3307,2308,1872,3931,129,8633,144,674,4376,2702,895,2300,6279,544,1996,4293,10570,1257,801,317,153,19575,46234
1878_Bergsoee_HvemVarHan.0,129.0,75.0,52,43,36.0,25.0,302,74,2372,3405,3883,1753,1360,2244,112,5200,111,370,4422,488,614,1095,4580,340,1135,2116,5163,779,591,230,155,15861,32349
1878_Bjoernsen_FraFortidOgNutid.0,169.0,104.0,50,39,69.0,36.0,1256,250,5459,7805,7951,4218,4191,5840,191,12985,135,1272,10032,1695,1978,2124,12025,1538,3039,5758,13965,2285,1305,531,201,38205,79439
1878_Bondesen_KongsbrydensFostersoen.0,438.0,168.0,56,42,136.0,49.0,2672,391,3859,6615,8162,3693,3411,3780,534,9916,166,747,9433,3657,1250,4372,10585,1417,1905,4253,10035,1714,1075,588,228,32526,71597
1878_Broendsted_IBoelgegang.0,129.0,84.0,117,84,29.0,29.0,1101,223,3756,4584,5900,2521,2408,3321,325,7366,172,545,6024,1598,971,2386,6417,642,1874,3416,8398,1014,720,353,172,23157,48936
1878_C_ErikOgUlrikkaEllerRingerenFraStokholm_1.0,288.0,117.0,156,75,303.0,65.0,3577,353,5708,9284,11914,7386,3601,7482,614,14990,275,1198,17431,4641,2274,9476,18027,2009,2537,7230,16514,2212,1006,681,190,54154,116310
1878_FT_OlietrykmandensBortfoerelseshistorie.0,579.0,215.0,441,178,286.0,163.0,2562,464,8931,14604,17089,8009,5694,10950,906,21922,639,1833,20735,4590,2793,4715,19986,2232,4459,11112,26968,2947,1452,1106,315,73148,145628
1878_Gerson_UdAfLivet.0,56.0,38.0,20,19,21.0,19.0,106,57,3152,5376,6591,2714,1824,3921,122,7638,103,645,6989,189,892,1185,6753,619,1643,3529,8394,968,606,258,129,25297,48713
1878_Gjellerup_EnIdealist.0,134.0,92.0,208,162,41.0,29.0,1613,308,3018,4961,5661,2710,1944,3324,335,6674,134,648,6550,2205,1125,1221,6824,649,1515,3211,7949,1016,757,369,175,23820,47983
1878_HenningsenE_MathildeOgHendesVenner.0,98.0,44.0,89,47,60.0,18.0,1005,119,2429,4316,5417,2123,1824,2497,529,6627,114,556,5397,1255,873,2516,6319,512,1300,2633,6303,916,567,441,183,20461,43304
1878_LieJ_ThomasRoss.0,201.0,117.0,180,101,136.0,37.0,1727,237,3842,6732,7422,3268,2277,4138,248,8859,117,831,8806,2775,1210,4235,8904,1393,1859,4240,10327,1263,907,490,228,30236,65057
1878_MoellerL_BlancaVillemontEllerSteppejaegerensBrud.0,873.0,216.0,544,227,235.0,114.0,3321,470,8504,12398,12528,6130,5583,9330,551,20514,545,1457,14931,5548,2024,7098,19632,1881,4739,9582,23902,3478,1656,1192,350,56872,128654
1878_Olufsen_Taagebilleder.0,235.0,100.0,131,84,71.0,38.0,1186,180,3744,5838,5851,3280,2413,4599,307,10235,118,656,7784,1676,1457,2236,9024,624,2127,4624,11062,1475,920,594,270,28619,59842
1878_Rosenfeld_HvemAfDeTo.0,66.0,37.0,65,47,11.0,11.0,761,96,5235,7395,7883,3482,3453,5628,315,10152,280,867,10952,1030,1312,2656,9988,791,2674,5160,12708,1472,790,492,172,36768,71419
1878_RygaardHa_PerlefiskerensSoen_2.0,193.0,85.0,182,97,96.0,55.0,2734,230,8425,10611,14023,7927,5307,10163,904,17738,405,1768,18305,3355,2584,3836,20214,1006,4317,9303,22549,2318,1025,952,244,63617,126571
1878_Schandorph_UdenMidtpunkt.0,155.0,102.0,203,152,87.0,51.0,1420,306,4904,7887,7160,3475,2661,5066,422,12107,189,828,8267,2010,1315,1800,9558,877,2618,5039,12375,1830,1268,550,275,32378,68526
1878_Schjoerring_FlyvendeSommer.0,110.0,45.0,64,40,76.0,36.0,813,134,2553,4280,4550,2410,1648,2849,141,5883,60,517,5256,1041,1079,1200,5525,552,1274,2711,6568,897,636,309,147,19856,39544
1878_SoerensenC_AltForFaedrelandet.0,1138.0,388.0,546,193,234.0,179.0,2646,558,8285,15110,14193,7740,5268,11729,616,24786,502,2248,15596,4605,3142,7506,20027,2523,4496,10920,26033,3923,1986,1068,326,65618,143876
1878_SoerensenC_AltForFaedrelandet.1,1706.0,626.0,640,194,496.0,361.0,2779,769,8343,16039,13566,7519,5162,11219,451,25563,905,2385,13373,5853,3040,5413,18752,2896,4549,11275,26867,3936,2083,1037,313,62549,140479
1878_Topsoee_Nutidsbilleder.0,117.0,66.0,89,66,39.0,27.0,586,88,6307,8709,10129,4670,3603,5872,376,11832,108,1347,10791,941,1746,2156,10748,496,3234,5651,14019,1571,1051,557,216,41434,79831
1879_Anselmo_AmelieEllerLivIDoeden.0,511.0,199.0,160,113,276.0,138.0,2086,395,6384,9699,10300,5369,4198,8032,434,15873,222,1445,11328,3484,1922,3703,13990,1655,3554,7889,19173,2162,1150,657,240,45688,98038
1879_Bjoernson_KaptajnMansana.0,133.0,60.0,70,45,24.0,22.0,292,70,1455,2457,2669,1073,1057,1619,54,3613,88,231,3086,555,454,471,3238,310,759,1562,3786,489,401,165,105,11086,22430
1879_Borring_DalpigenEllerSlottetISorento_1.0,146.0,61.0,115,58,85.0,55.0,2599,268,6933,10662,13652,7231,3942,8800,1160,16588,283,1692,18770,3358,2227,4114,19039,1765,3577,8696,20614,2389,1110,945,252,59717,120216
1879_Borring_DalpigenEllerSlottetISorento_2.0,198.0,74.0,191,72,70.0,49.0,2615,300,6962,9425,12203,6924,4282,8546,867,16152,272,1579,15197,3312,2304,4015,17162,1389,3674,8063,19500,2128,1051,805,248,54102,110591
1879_Colban_EnGammelJomfru.0,107.0,41.0,89,39,18.0,13.0,490,72,2944,3919,4880,2793,1725,2976,108,6593,151,576,5592,589,881,382,5797,220,1473,2846,6825,833,535,265,147,20570,40126
1879_C_ErikOgUlrikkaEllerRingerenFraStokholm_2.0,230.0,70.0,112,70,341.0,93.0,3095,309,5150,8574,11044,6840,3319,6502,552,13902,348,1206,15592,4036,2177,8732,16312,1726,2278,6310,14437,2007,913,637,182,49183,106012
1879_Dodt_VedGurreSoe.0,126.0,58.0,53,40,10.0,10.0,836,131,4003,5901,6829,3398,2718,4090,351,8850,53,900,7558,1063,1687,2975,8071,736,2087,3946,9786,1174,784,493,211,28413,59183
1879_Drachmann_PoulOgVirginieUnderNordligBredde.0,60.0,39.0,28,27,13.0,12.0,553,58,1976,3572,4232,1609,1614,2083,182,5930,107,250,3818,675,466,633,4888,319,1021,2008,4935,937,635,295,169,15141,32354
1879_Elster_ToraTrondal.0,82.0,59.0,42,38,27.0,24.0,812,77,3889,5592,6267,3102,2771,3835,225,8119,109,597,7804,1062,941,3048,8353,518,1924,3524,8718,1241,787,426,183,27492,56232
1879_FT_HCAndersensRejseAeventyr.0,617.0,205.0,685,323,405.0,242.0,1595,560,9202,16291,16299,7773,5592,11353,436,23894,594,1808,19634,3872,2706,2606,19519,2071,4876,11527,28160,3362,1784,1181,345,72384,143650
1879_FT_OlietrykmandensFrieri.0,651.0,202.0,714,285,446.0,247.0,2212,567,8229,14372,15290,7680,4694,10819,681,23333,697,1644,17755,4463,2590,3718,18335,2533,4444,10981,26805,2897,1424,944,303,66640,136833
1879_Gjellerup_DetUngeDanmark.0,274.0,174.0,228,184,53.0,46.0,1904,369,5302,8086,8623,4147,3262,5599,601,12054,215,1031,9999,2707,1551,3607,11059,1101,2757,5481,13499,1818,1277,621,301,37454,78944
1879_Hansen_Vikingeblod.0,232.0,132.0,86,77,43.0,34.0,617,157,2114,4746,5084,2031,1760,2763,164,6684,63,493,5434,960,768,2026,5892,499,1039,2520,6023,988,699,260,146,20345,41481
1879_Holm_AmbrosiusEllerSkottenIGuldbrandsdalen_1.0,211.0,94.0,212,105,21.0,21.0,2309,242,7632,9539,11484,6575,4204,9460,816,17042,248,1528,15628,2849,2221,3986,17779,936,4177,8686,21145,2399,1128,920,282,54283,111927
1879_Kieler_AndreFraKautokejno.0,356.0,178.0,288,175,44.0,40.0,1045,287,3008,4945,3938,2181,1915,3405,110,8866,159,358,4757,1662,708,3029,6658,499,1579,3412,8288,1230,876,359,178,19365,46198
1879_Krogh_KaiLykke.0,950.0,343.0,274,142,190.0,110.0,1606,416,3667,7304,5102,3043,2599,4388,45,11586,224,865,4966,3212,1126,875,7698,903,2148,4772,11456,1812,1103,386,168,25533,57603
1879_Lange_NytLiv.0,168.0,83.0,94,51,71.0,31.0,590,125,4582,7132,7554,2528,2601,4992,226,9083,90,850,6567,931,1239,1551,6781,773,2997,5226,13607,877,596,347,141,29004,57480
1879_LieJ_AdamSchrader.0,93.0,67.0,95,60,45.0,36.0,920,152,3290,5656,7339,3050,2163,3262,337,7627,145,802,8111,1331,1188,3747,7700,1101,1581,3268,7982,1142,844,385,193,27441,56849
1879_MoellerL_SlettensLilieEllerDetHemmelighedsfuldeSlot.0,430.0,166.0,247,150,222.0,115.0,2391,446,8961,12291,12431,6480,5242,9927,546,20536,554,1494,16095,4169,2287,7566,19374,2146,4840,9981,24515,3329,1569,1150,344,58647,130099
1879_Rovsing_EnsomtLiv.0,66.0,51.0,42,38,21.0,12.0,190,100,2562,3432,5434,2420,1745,2314,190,4684,72,572,5624,304,983,1092,4998,444,1225,2148,5337,725,537,220,119,19915,36870
1879_SkramE_GertrudeColbjoernsen.0,162.0,77.0,57,46,71.0,16.0,1584,127,3860,6659,6431,3620,2113,4287,258,9127,170,725,7610,1830,1187,3424,8377,334,1920,4040,9736,1072,678,429,201,29346,60012
1879_Soerensen_SkarpretterensDatter.0,327.0,150.0,123,77,114.0,86.0,1385,262,5002,9454,9209,5129,3023,6735,340,15280,228,1371,9871,1988,2186,4338,12072,1585,2620,6227,14670,2220,1354,700,249,40840,87811
1879_Soerensen_SkarpretterensDatter.1,346.0,148.0,67,56,50.0,37.0,2210,240,4864,8707,10113,5294,3454,6376,592,13410,214,1362,11455,3024,2353,5892,12553,1436,2449,6126,14463,1897,1062,618,213,43204,91099
1879_Thoresen_HerlufNordal.0,130.0,86.0,85,60,79.0,43.0,2014,230,7448,13387,12225,4879,5701,9743,346,20605,126,1041,13365,2503,1996,2729,16276,1227,4510,9276,22429,2549,1564,906,319,55135,113597
1880_Andersen_DenGodeAlvilda.0,359.0,129.0,165,89,113.0,50.0,2254,299,4825,8797,8721,4912,2967,6820,185,14713,367,1339,11386,3294,1617,5432,13826,879,2536,6659,15627,2036,1099,786,258,41036,90080
1880_Andersen_DenGodeAlvilda.1,558.0,152.0,169,90,177.0,91.0,2319,292,4489,9197,9697,5528,2795,6092,165,13185,236,1733,11829,4104,2043,4273,13253,960,2327,6480,15225,1932,975,667,191,42483,89579
1880_Bang_HaabloeseSlaegter.0,171.0,95.0,183,137,94.0,65.0,2697,281,6436,11517,14677,6259,4906,6888,556,17888,296,1323,15996,3403,1640,7087,18374,816,2853,6685,15572,2756,1443,816,296,55401,118062
1880_Colban_Cleopatra.0,378.0,126.0,284,187,43.0,39.0,736,251,4956,5994,6165,3786,2184,5457,103,10867,250,784,8195,1282,994,733,8688,512,2682,5055,12302,1558,983,493,221,30216,60950
1880_EwaldHF_AnnaHardenberg.0,528.0,200.0,91,61,47.0,37.0,4204,441,6703,12865,12782,5688,6691,9593,301,19779,183,1370,15445,6126,3342,5329,18147,1619,3619,9924,23133,2895,1389,965,253,59040,125963
1880_Fibiger_Askepot.0,61.0,43.0,45,39,39.0,19.0,1030,128,3761,6725,8642,3176,3692,4119,218,9341,110,1038,9145,1264,1630,2797,9681,602,1769,3880,9412,1408,811,535,211,32668,65941
1880_Gjellerup_Antigonos.0,236.0,128.0,315,185,46.0,36.0,990,224,2912,4805,3498,1713,2112,3477,128,7913,130,387,4981,1364,840,1418,6225,367,1668,3335,8203,1328,960,341,197,19371,42270
1880_Gloeersen_EnFremmed.0,122.0,66.0,111,83,62.0,50.0,1515,248,3969,6125,9400,4424,2735,4239,698,8514,136,1012,10501,2203,1732,4998,9741,1134,1718,4098,9767,1111,792,445,179,37254,71561
1880_Hansen_FraDannevirkeTilRosenvaenget.0,218.0,129.0,140,100,37.0,35.0,614,156,2758,5661,7137,2693,2219,3145,335,7690,126,671,7173,937,1227,2479,7065,677,1274,2879,7031,1092,771,342,178,26008,51993
